experiment,n_instances,solve_rate,solve_rate_lo,solve_rate_hi,solve_rate_lo_delta,solve_rate_hi_delta,mean_cost,mean_cost_lo,mean_cost_hi,mean_cost_lo_delta,mean_cost_hi_delta
gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,500,0.356,0.314,0.398,-0.04199999999999998,0.04200000000000004,0.17717132776000002,0.15263841548200002,0.204189485113,-0.024532912278000002,0.027018157352999977
gemini_2.5_flash-agent-t_0.8-baseline_raw.0-verified-500,500,0.328,0.288,0.37,-0.040000000000000036,0.04199999999999998,0.41483117432,0.34134848920399996,0.495366912488,-0.07348268511600003,0.08053573816800003
gemini_2.5_flash-agent-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,500,0.36,0.32,0.4020499999999993,-0.03999999999999998,0.04204999999999931,0.24237275751999998,0.20593491492799998,0.28225601700200004,-0.036437842592,0.039883259482000055
gemini_2.5_flash_thinking-agent-t_0.8-baseline_N_1_M_10.0-verified-500,500,0.364,0.322,0.406,-0.04199999999999998,0.04200000000000004,0.24193504755999998,0.20803847198,0.27817809607200006,-0.03389657557999998,0.03624304851200008
gemini_2.5_flash_thinking-agent-t_0.8-baseline_raw.0-verified-500,500,0.404,0.36,0.446,-0.04400000000000004,0.04199999999999998,0.55619953604,0.46045641122799996,0.6563885566539998,-0.09574312481200009,0.1001890206139997
gemini_2.5_flash_thinking-agent-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,500,0.314,0.274,0.354,-0.03999999999999998,0.03999999999999998,0.25158441056,0.207984315155,0.299091968257,-0.04360009540500004,0.04750755769699999
local-Qwen3-32B_thinking-baseline_N_1_M_10-collect_reasoning.0-verified-500,500,0.246,0.208,0.284,-0.038000000000000006,0.03799999999999998,0.4615879982,0.413757172675,0.5132355253899998,-0.04783082552500001,0.05164752718999982
local-Qwen3-32B_thinking-baseline_raw-collect_reasoning.0-verified-500,500,0.23,0.194,0.268,-0.036000000000000004,0.038000000000000006,0.512588699,0.44928729891499997,0.581912869895,-0.06330140008500007,0.06932417089499998
local-Qwen3-32B_thinking-t_0.8-turn-summaries-t_0-N_21_M_10_openhands-collect_reasoning.0-verified-500,500,0.248,0.21,0.288,-0.038000000000000006,0.03999999999999998,0.5104841153999999,0.44945064661,0.5756181252499999,-0.061033468789999934,0.06513400984999995
local-Qwen3-Coder_480B_A35B_Instruct_FP8-baseline_N_1_M_10.0-verified-500,500,0.548,0.504,0.592,-0.04400000000000004,0.04399999999999993,0.60983945528,0.5558769128900001,0.668250988102,-0.05396254238999998,0.058411532821999956
local-Qwen3-Coder_480B_A35B_Instruct_FP8-baseline_raw.0-verified-500,499,0.533066132264529,0.4909819639278557,0.5771543086172345,-0.04208416833667333,0.044088176352705455,1.2884660433667334,1.0513065464208418,1.5643215309739475,-0.23715949694589167,0.2758554876072141
local-Qwen3-Coder_480B_A35B_Instruct_FP8-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,500,0.538,0.496,0.58,-0.04200000000000004,0.041999999999999926,0.6369016283200001,0.582626276616,0.6935688119300001,-0.05427535170400011,0.056667183610000005
local-qwen3-32b-baseline_N_1_M_10.0-verified-500,500,0.15,0.12,0.182,-0.03,0.032,0.5538001784,0.47070242292500003,0.6441992505549999,-0.08309775547499992,0.09039907215499998
local-qwen3-32b-baseline_raw.0-verified-500,500,0.17,0.138,0.204,-0.032,0.033999999999999975,1.116987193,0.942267661475,1.2978625112599995,-0.17471953152499997,0.18087531825999958
local-qwen3-32b-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,500,0.16,0.128,0.194,-0.032,0.034,0.49963437019999996,0.43527491521499995,0.5688190865699999,-0.06435945498500001,0.06918471636999995
