experiment,n_instances,solve_rate,solve_rate_lo,solve_rate_hi,solve_rate_lo_delta,solve_rate_hi_delta,mean_cost,mean_cost_lo,mean_cost_hi,mean_cost_lo_delta,mean_cost_hi_delta
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,500,0.372,0.33,0.414,-0.04199999999999998,0.04199999999999998,1.13877,1.0524350400000002,1.228452105,-0.08633495999999985,0.08968210499999985
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-verified_50-summarizer_for_eval-run_1,50,0.42,0.28,0.56,-0.13999999999999996,0.14000000000000007,1.215856,0.92136695,1.5265464,-0.29448905000000003,0.3106903999999999
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_10-verified_50-observation_masking_for_eval-run_1,50,0.3,0.18,0.44,-0.12,0.14,1.137996,0.9527779000000001,1.3285209500000004,-0.18521809999999994,0.19052495000000036
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_20-verified_50-observation_masking_for_eval-run_1,50,0.28,0.16,0.4,-0.12000000000000002,0.12,1.209308,0.9069470499999999,1.5275853499999998,-0.3023609500000002,0.3182773499999998
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_29-verified_50-observation_masking_for_eval-run_1,50,0.32,0.2,0.46,-0.12,0.14,1.5004979999999997,1.1277327499999998,1.91813515,-0.3727652499999998,0.41763715000000023
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_43-verified_50-observation_masking_for_eval-run_1,50,0.32,0.2,0.46,-0.12,0.14,1.4717820000000001,1.0475179000000003,1.9389397500000003,-0.4242640999999998,0.46715775000000015
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_50-verified_50-observation_masking_for_eval-run_1,50,0.32,0.2,0.44049999999999273,-0.12,0.12049999999999272,1.468608,1.0361319,1.9575021,-0.4324760999999999,0.4888941
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_54-verified_50-observation_masking_for_eval-run_1,50,0.38,0.24,0.52,-0.14,0.14,1.3573959999999996,0.9702217000000001,1.7949075499999994,-0.3871742999999995,0.43751154999999975
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_58-verified_50-observation_masking_for_eval-run_1,50,0.44,0.3,0.58,-0.14,0.13999999999999996,1.327146,0.9878206999999999,1.71297485,-0.33932530000000005,0.38582885
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_72-observation_masking_for_eval-run_1,500,0.364,0.322,0.406,-0.04199999999999998,0.04200000000000004,1.7127302,1.551619365,1.8772466349999999,-0.1611108349999999,0.1645164349999999
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_72-verified_50-observation_masking_for_eval-run_1,50,0.44,0.3,0.58,-0.14,0.13999999999999996,1.256548,0.9149223500000001,1.6483046,-0.3416256499999999,0.3917565999999999
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_86-verified_50-observation_masking_for_eval-run_1,50,0.4,0.26,0.54,-0.14,0.14,1.813598,1.263492,2.4278348999999992,-0.550106,0.6142368999999992
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-observation_masking_for_eval-run_1,500,0.234,0.198,0.272,-0.036000000000000004,0.038000000000000006,1.2061774,1.1373723199999999,1.2736616399999998,-0.06880508000000018,0.06748423999999975
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-run_1,500,0.346,0.304,0.388,-0.04199999999999998,0.04200000000000004,2.3107398000000003,2.0473298950000003,2.5793955549999996,-0.26340990500000006,0.2686557549999993
gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-verified_50-run_1,50,0.4,0.26,0.54,-0.14,0.14,2.385944,1.55986225,3.2976495999999997,-0.82608175,0.9117055999999999
