group,strategy,experiment_other,experiment_raw,n_common,solve_rate_diff,solve_rate_lo,solve_rate_hi,solve_rate_p,mean_cost_diff,mean_cost_lo,mean_cost_hi,mean_cost_p
(a) Gemini 2.5 Flash,LLM-Summary,gemini_2.5_flash-agent-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,gemini_2.5_flash-agent-t_0.8-baseline_raw.0-verified-500,500,0.03199999999999997,-0.0040000000000000036,0.07,0.0948,-0.17245841680000001,-0.2578847626909999,-0.09360394469300005,0.0
(a) Gemini 2.5 Flash,Observation Masking,gemini_2.5_flash-agent-t_0.8-baseline_N_1_M_10.0-verified-500,gemini_2.5_flash-agent-t_0.8-baseline_raw.0-verified-500,500,0.02799999999999997,-0.008000000000000007,0.064,0.1504,-0.23765984655999997,-0.3201689868389999,-0.161402154756,0.0
(b) Gemini 2.5 Flash (Thinking),LLM-Summary,gemini_2.5_flash_thinking-agent-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,gemini_2.5_flash_thinking-agent-t_0.8-baseline_raw.0-verified-500,500,-0.09000000000000002,-0.13,-0.05199999999999999,0.0,-0.30461512548,-0.40737683792299995,-0.20430511782500008,0.0
(b) Gemini 2.5 Flash (Thinking),Observation Masking,gemini_2.5_flash_thinking-agent-t_0.8-baseline_N_1_M_10.0-verified-500,gemini_2.5_flash_thinking-agent-t_0.8-baseline_raw.0-verified-500,500,-0.040000000000000036,-0.07800000000000001,-0.0020000000000000018,0.0406,-0.3142644884800001,-0.4096234190259999,-0.2244722060749999,0.0
(c) Qwen3-Coder 480B,LLM-Summary,local-Qwen3-Coder_480B_A35B_Instruct_FP8-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,local-Qwen3-Coder_480B_A35B_Instruct_FP8-baseline_raw.0-verified-500,500,0.0040000000000000036,-0.029999999999999916,0.03799999999999992,0.8736,-0.64914601776,-0.9047566815259995,-0.42630919507000004,0.0
(c) Qwen3-Coder 480B,Observation Masking,local-Qwen3-Coder_480B_A35B_Instruct_FP8-baseline_N_1_M_10.0-verified-500,local-Qwen3-Coder_480B_A35B_Instruct_FP8-baseline_raw.0-verified-500,500,0.014000000000000012,-0.016000000000000014,0.04399999999999993,0.3856,-0.6762081908,-0.9319856960199998,-0.45180020744000005,0.0
(d) Qwen3-32B,LLM-Summary,local-qwen3-32b-t_0.8-turn-summaries-t_0-N_21_M_10_openhands.0-verified-500,local-qwen3-32b-baseline_raw.0-verified-500,500,-0.010000000000000009,-0.045999999999999985,0.025999999999999995,0.6192,-0.6173528228,-0.7903744940699999,-0.4453983650199999,0.0
(d) Qwen3-32B,Observation Masking,local-qwen3-32b-baseline_N_1_M_10.0-verified-500,local-qwen3-32b-baseline_raw.0-verified-500,500,-0.020000000000000018,-0.05,0.010000000000000009,0.2086,-0.5631870146,-0.7478898073149998,-0.38168073432999994,0.0
(e) Qwen3-32B (Thinking),LLM-Summary,local-Qwen3-32B_thinking-t_0.8-turn-summaries-t_0-N_21_M_10_openhands-collect_reasoning.0-verified-500,local-Qwen3-32B_thinking-baseline_raw-collect_reasoning.0-verified-500,500,0.017999999999999988,-0.017999999999999988,0.05400000000000002,0.342,-0.0021045836000000984,-0.07850019782499985,0.07408110083499993,0.937
(e) Qwen3-32B (Thinking),Observation Masking,local-Qwen3-32B_thinking-baseline_N_1_M_10-collect_reasoning.0-verified-500,local-Qwen3-32B_thinking-baseline_raw-collect_reasoning.0-verified-500,500,0.015999999999999986,-0.01999999999999999,0.05200000000000002,0.398,-0.05100070080000002,-0.12550278993000008,0.018680803399999998,0.1586
